Program Name,Acronym,Agency Owner,Program Type,Budget,Contract Vehicle Used,Prime Contractor,Key Subcontractors,Period of Performance,Recompete Date,Incumbent Score,Related Jobs,COR/COTR,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle/Type,Key Locations,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance (Original),PoP End,PoP Start,Prime Contractor 1,Priority Level,Program Manager,Security Requirements,Source Evidence,Technical Stack,Typical Roles
OASIS+ Multi-Agency Services,OASIS+,DoD,Professional Services,,,,,,,,,,"Public Trust, Secret, Top Secret",Medium,Multi-$B,GWAC,Nationwide,“OASIS+… multi-agency professional services”,Engineering + professional services SB teams,,,,Multi-year,,,Multi-award primes,Medium,,,GSA references,,Eng services; PM; acquisition; R&D; analysis
OASIS+ Services (Already normalized),OASIS+,DoD,Professional Services,,,,,,,,,,Public Trust,Medium,Multi-$B,GWAC,Nationwide,OASIS+,multiples,,,,multi-year,,,multiples,Medium,,,Pointer,,Eng/Prof services
OFAC Payment / Trade Ops Data System,OFAC PTODS,Treasury,Data,,,,,,,,,,Public Trust,Medium,,FEDERAL SYSTEM,Washington DC,“OFAC system”,,,,,Multi-year,,,,Medium,,,Row text,,Data engineers; financial systems IT
OFAC Payment/Trade Ops Data System (Already normalized),OFAC PTODS,Treasury,Data,,,,,,,,,,Public Trust,Medium,,SYSTEM,DC,OFAC,,,,,Multi-year,,,,Medium,,,Pointer,,Data engineering
One-T (Recompete),One-T,DoD,Professional Services,,,,,,,,,,Secret,Medium,,RECOMPETE,Secret,IT Ops,,,,,Upcoming,,,,Medium,,,Medium,,“One-T Recompete list”
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,Professional Services,,,,,,,,,,"Public Trust, Secret",Medium,$116.7M,Single Award,Pentagon; Mark Center; Crystal City,“LMI… $116.7M… admin & analytic support”,SB surge partners,,,,2019–2024,2024,2019,LMI,Medium,,,OUSD(A&S) description,,Admin assistants; analysts; PM support
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,Professional Services,,,,,,,,,,"Public Trust, Secret",High,$1.8B,IDIQ,Pentagon / NCR / CONUS,“PRISM IDIQ”; “surge staffing”,Many teaming partners,,,,2024–2029,2029,2024,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",High,,,Consolidated from all PRISM rows,,Analysts; trainers; HR support; admin
PAC-3 (Consolidated),PAC-3,Army,Weapon Systems,,,,,,,,,,Secret,High,Multi-$B,IDIQ,Camden AR; Huntsville AL; Grand Prairie TX; WSMR,“PAC-3”; “Patriot”; “interceptor”,Raytheon; Boeing; Aerojet Rocketdyne,,,,Ongoing,Ongoing,,Lockheed Martin,High,,,Consolidated from all PAC-3 rows,,Missile engineering; assembly; test; RF engineering
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,$10B,IDIQ,Grand Prairie TX; Camden AR; Huntsville AL; WSMR; Orlando FL,"“Patriot / Interceptor / Record Production Year”; “1,970+ MSE deliveries”; “FMS WISŁA IBCS links”",Raytheon; Boeing; L3Harris; Aerojet Rocketdyne,,,,2018–2030+,2030,2018,Lockheed Martin Missiles & Fire Control,High,,,Lockheed PAC-3 MSE Intelligence Reports,,Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,Weapon Systems,,,,,,,,,,"Secret, TS/SCI",High,$9.8B,IDIQ,Camden AR; Grand Prairie TX; Huntsville AL,"“PAC-3 MSE record production, >500 missiles/yr”",Boeing RF Seeker; L3H/Aerojet dual-pulse motor,,,,FY24–FY30,,,Lockheed Martin,High,,,HUMINT & BD Files,,Manufacturing; missile eng; test; RF engineers; quality
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,Weapon Systems,,,,,,,,,,"Secret, TS/SCI",High,$9.8B,IDIQ,Grand Prairie TX; Camden AR; Huntsville AL,"“PAC-3 MSE… 1,970 missiles… record year”",Boeing; L3Harris; Aerojet Rocketdyne,,,,2024–2031+,2031,2024,Lockheed Martin,High,,,HUMINT and BD data,,QA inspectors; assembly; missile test; systems engineers; production planners; RF testers
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,Cyber,,,,,,,,,,TS/SCI w/ Poly,High,$889M,Services,Fort Eisenhower GA; Fort Meade MD,“Peraton Awarded $889M… ARCYBER… Cyber Mission Partners”,,,,,2024–2029,2029,2024,Peraton,High,,,Program listing,,Cyber ops planners; IO/EW; mission support
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,Cyber,,,,,,,,,,TS/SCI w/ Poly,High,$1B,IDIQ,Reston VA; Fort Meade MD,“High-value IC IDIQ; automation; IC cyber/data fusion”,,,,,2023–2028,2028,2023,Peraton,High,,,NARSIL references,,Systems Eng; DevOps; Cyber Ops; ML/AI; Signals Processing
POD ARCYBER (Army Cyber Ops),POD ARCYBER,Army,Cyber,,,,,,,,,,TS/SCI,Medium,,PROGRAM,Fort Gordon GA,“ARCYBER”,,,,,Multi-year,,,,Medium,,,Row text,,Cyber ops; IO
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,C5ISR,,,,,,,,,,Secret,High,$4.8B,FMS,Poland; Huntsville AL labs,“WISŁA… IBCS portion ~$900M… Patriot batteries”,Polish PGZ; U.S. integrators,,,,2018–2026+,2026,2018,Raytheon & Northrop Grumman,High,,,BD documents,,Fielding; integration; training; IBCS engineering
PRISM Support Services (Consolidated),PRISM,DoD,IT Ops,,,,,,,,,,"Public Trust, Secret",High,$1.8B,IDIQ,Pentagon; NCR; CONUS,“PRISM IDIQ… admin & analyst roles… surge staffing via teams”,Numerous teaming partners,,,,2024–2029,2029,2024,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",High,,,Program references,,Admin; Program Analysts; Training; HR; data analysts
Project Convergence (JADC2 Experiments),PC,Army,C5ISR,,,,,,,,,,Secret,Medium,,EVENT-BASED EXPERIMENTATION,Yuma Proving Ground; Austin TX; labs,“SAIC… autonomy software engineers & data analysts”,Multiple (needs-scrape),,,,2020–Present,Ongoing,2020,SAIC,Medium,,,BD notes,,Autonomy SW; AI/ML analysts; JADC2 integration staff
Protected Satcom & Tactical Waveform Communications,PTW / Protected TWF,Space Force,Space,,,,,,,,,,Secret,Medium,,SPACE ACQUISITION,Colorado Springs (indicative),“Protected Tactical Waveform”,,,,,Multi-year,,,L3Harris,Medium,,,SATCOM references,,RF Engineers; Crypto; SATCOM SMEs
Protected Tactical SatCom / Waveform,PTW,Space Force,Space,,,,,,,,,,Secret,Medium,,SPACE ACQUISITION,CO (indicative),“Protected Tactical Waveform”,,,,,Multi-year,,,L3Harris,Medium,,,L3Harris SATCOM references,,RF engineers; crypto; SATCOM specialists
REACT (indicative),REACT,DoD,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,Cyber,,,,,Multi-year,,,,Medium,,,Low,,“REACT”
RUSHMORE,RUSHMORE,Space Force,Space,,,,,,,,,,TS/SCI,High,,SOFTWARE ENGINEERING PROGRAM,Aurora CO (Buckley SFB),“Apex posting for NGC RUSHMORE team”,Apex Systems (staffing),,,,Multi-year,,,Northrop Grumman,High,,,Apex & NGC job postings,,Principal Java SW Engineer; C2/SATOPS SW
RUSHMORE (Already normalized),RUSHMORE,Space Force,Space,,,,,,,,,,TS/SCI,High,,PROGRAM,Aurora CO,RUSHMORE,Apex,,,,multi-year,,,Northrop,High,,,pointer,,SW engineering
SCITLS,SCITLS,DoD,Logistics,,,,,,,,,,Secret,Medium,,AWARD / LOGISTICS-IT,CONUS,“SCITLS”,,,,,Multi-year,,,GDIT,Medium,,,Provided,,Logistics IT technicians
SCITLS (Already normalized),SCITLS,DoD,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,Logistics/IT,,,,,multi-year,,,GDIT,Medium,,,Medium,,SCITLS
SCORPION (classified),SCORPION,DoD,Cyber,,,,,,,,,,TS/SCI,Medium,,CLASSIFIED PROGRAM,,“Listed in classified-support context”,,,,,Multi-year,,,CACI (context only),Medium,,,Low,,Intel/Cyber
SDA Tranche-0 Constellation Support,SDA Tranche-0,DoD,C5ISR,,,,,,,,,,TS/SCI,Medium,,MULTI-CONTRACT (TRANSPORT + TRACKING LAYER),SDA Ops Center (likely),“Transport Layer / Tracking Layer primes”; “Peraton ground support suspected”,Peraton (suspected ground/ops sub),,,,~2020–2023 (demo tranche),2023,2020,"Multiple primes (Lockheed, York, SpaceX, L3Harris)",Medium,,,Provided references,,Satellite operators; network engineers; ground-system integrators
SeaPort Next Generation,SeaPort-NxG,Navy,C5ISR,,,,,,,,,,Secret,Medium,,IDIQ,Navy worldwide,“SeaPort-NxG MAC”,Many engineering & IT subs,,,,—,,,1023+ primes,Medium,,,—,,Systems engineering; logistics; SW; cyber
Sentinel / GBSD,GBSD,Air Force,Weapon Systems,,,,,,,,,,"Secret, TS/SCI",High,,ICBM MODERNIZATION CONTRACT,Roy UT; Hill AFB; Ogden UT; SLC UT; CO Springs; Huntsville AL; Vandenberg; Redondo Beach CA; Brigham City UT,Sentinel; LGM-35A; GBSD,Bechtel; Aerojet; Lockheed,,,,2020–2036+,2036,2020,Northrop Grumman,High,,,“Sentinel Execution Strategy Guide – PTS”,,Systems Eng Mgr; Cyber Eng; C2 SW Dev; Missile Propulsion; Depot Planners; Nuclear Surety
Sentinel / GBSD,GBSD,Air Force,C5ISR,,,,,,,,,,TS/SCI,High,$13B,Production,Hill AFB; Roy UT; Ogden UT,Sentinel; Minuteman III; ICBM,Insight Global; Apex; TEKsystems,,,,2020–2036,2036,2020,Northrop Grumman,High,,,“GBSD Strategy… Roy UT… TS/SCI…”,,Systems Eng; ILS Lead; Missile Integration SME
Sentinel GBSD,GBSD,Air Force,Weapon Systems,,,,,,,,,,"Secret, Top Secret",High,$13.3B,OTA,Ogden; Roy; Hill AFB,ICBM; Utah; C2; T&E,SAIC; Insight Global; Apex,,,,2020–2036+,2036,2020,Northrop Grumman,High,,,“GBSD BD Strategy.pdf…”,,Systems Eng; Cyber; Test; SW
Sentinel GBSD,GBSD,Air Force,Weapon Systems,,,,,,,,,,"Secret, TS/SCI",High,,Production,Roy; Hill AFB; Ogden; Redondo Beach; CO Springs; Huntsville; El Segundo; Promontory; Elkton,Sentinel; LGM-35A; Digital Engineering; Strategic Deterrent,Aerojet; Textron; LMT; Bechtel; Clark; GD; Honeywell; L3Harris; CAE; Kratos; HDT,,,,—,,,Northrop Grumman,High,,,“Sentinel GBSD… Strategic Systems”,,MBSE; SE&I; cyber; embedded SW; test; propulsion; logistics; supply chain; EVMS/CAM; QA; modeling
Sentinel GBSD,GBSD / Sentinel,Air Force,Weapon Systems,,,,,,,,,,"Secret, TS/SCI",High,$13.3B,EMD/PROD,Roy; Hill; Ogden; Promontory; CO Springs,Minuteman III replacement,Insight Global; Apex; TEKsystems; Prime TS,,,,2020–2039,2039,2020,Northrop Grumman,High,,,“Sentinel HQ + sustainment at Hill/Roy/Ogden”,,Systems Eng; SW; MBSE; Cyber
Sentinel GBSD (AFNWC Hill AFB Variant),GBSD / Sentinel,Air Force,Weapon Systems,,,,,,,,,,"Secret, Top Secret",High,$13.3B,EMD,Roy; Huntsville; Ogden; Hill AFB,ICBM modernization,Insight Global; Apex; TEKsystems; Belcan,,,,2020–2039,2039,2020,Northrop Grumman,High,,,“Proposed Architecture for Prime TS BD Intelligence Automation”,,Systems Eng; SW Eng; Test Eng; PM
Sentinel GBSD (LGM-35A),GBSD / Sentinel,Air Force,Weapon Systems,,,,,,,,,,"Secret, TS/SCI",High,,Production,Roy; Hill; Ogden; Redondo Beach; El Segundo; CO Springs; Huntsville; Promontory; Elkton,LGM-35A; ICBM; RMF; Digital Engineering,Bechtel; Aerojet; LMT; GD; Honeywell; L3Harris; CAE; Kratos; HDT,,,,—,,,Northrop Grumman,High,,,“Tier-1 subcontractors… key locations…”,,MBSE; Systems Eng; Cyber ISSO/ISSM; C2 SW; Test; Supply Chain; Logistics/ILS; Propulsion
Sentinel ICBM / GBSD,GBSD,Air Force,Weapon Systems,,,,,,,,,,TS/SCI,High,$85B,IDIQ,Ogden; Hill; Promontory; Remote,Nuclear Command; ATO; Mission Critical,Apex; Insight Global; Prime TS,,,,—,,,Northrop Grumman,High,,,“We’re confident… support for Sentinel”,,Network Eng; Cyber; SW; Sustainment
Sentinel Program Cybersecurity Core,Sentinel Cyber,Air Force,Cyber,,,,,,,,,,TS/SCI,High,,,Ogden; Hill AFB,“Cybersecurity; RMF; Sentinel ATO; Cross Domain; Zero Trust”,Parsons; BAE Systems,,,,needs-scrape,,,Northrop Grumman,High,,,—,,Cybersecurity Engineers; ISSOs; RMF
SIPRAFT (indicative),SIPRAFT,DoD,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,IT Ops,,,,,Multi-year,,,,Medium,,,Low,,“SIPRAFT”
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,C5ISR,,,,,,,,,,TS/SCI,High,$2.8B,IDIQ,MacDill AFB; Component Commands; OCONUS deployment,“Thousands of positions across SOCOM; cleared surge support”,Iron Bow; Iron EagleX; multiple SB subs,,,,8 years,,,Peraton,High,,,SOCOM SITEC III BD references,,IT support; deployable techs; field comms; cyber/SOCs
SLCD / SSLF (indicative),SLCD / SSLF,Army,Professional Services,,,,,,,,,,Secret,Medium,,Services,Secret,IT Ops,,,,,Upcoming,,,SAIC (context),Medium,,,Medium,,“SLCD/SSLF”
SOCOM Digital Applications Data Science Support,—,CIA,Cyber,,,,,,,,,,TS/SCI,High,,IDIQ,Tampa FL (MacDill AFB),“$30M SOCOM… data scientists and data integration specialists”,"Subcontractors for AI/ML, cloud, data integration (needs-scrape)",,,,—,,,Iron Eagle X (now GDIT),High,,,—,,Data scientists; data integrators; cloud/DevOps; AI/ML engineers
SOCOM Enterprise IT Support,—,SOCOM,Cyber,,,,,,,,,,TS/SCI,Medium,,,Tampa FL; Remote,“SOCOM… LVC exercises… cyber…”,CACI; Jacobs,,,,needs-scrape,,,GDIT,Medium,,,—,,Cyber; Network Ops; LVC Trainer
SOCOM Software Solutions IDIQ,—,SOCOM,Cyber,,,,,,,,,,TS/SCI,High,,IDIQ,Tampa FL + SOF sites,“$430M SOCOM software support IDIQ”,Multiple SW & AI subs,,,,~10 years,,,Iron Eagle X (now GDIT),High,,,—,,Software dev; cloud; DevSecOps; AI/ML; cyber
SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,Cyber,,,,,,,,,,TS/SCI,Medium,,Services,LA / Colorado,“Space payload / cyber”,—,,,,—,,,SAIC / LinQuest (indicative),Medium,,,—,,Payload / cyber engineers
SSA IT Support Services Contract,ITSSC,CIA,IT Ops,,,,,,,,,,Public Trust,Medium,,Services,SSA HQ,“SSA IT”,—,,,,—,,,Leidos / Accenture Federal (indicative),Medium,,,—,,"Service desk, ops"
SSDS CSEA,SSDS CSEA,Navy,C5ISR,,,,,,,,,,Secret,Medium,,PROGRAM,NAVSEA,Ship SD systems,—,,,,Ongoing,Ongoing,,—,Medium,,,—,,Systems engineering
STRATCOM Mission Readiness,SMORS,DoD,Logistics,,,,,,,,,,"Secret, TS/SCI",Medium,,Services,Colorado Springs CO; Offutt AFB NE,Mission readiness; sustainment,needs-scrape,,,,—,,,needs-scrape,Medium,,,“SMORS… sustainment engineers…”,,Sustainment engineers; ILS; RMF
STRATCOM Mission Readiness Support,SMORS,IC,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,,Services,Colorado Springs; Offutt AFB,“SMORS ops continuity; ILS; RMF”,Prime TS; logistics contractors,,,,—,,,Northrop Grumman (assumed),High,,,—,,Sustainment engineers; ILS; RMF cyber SMEs; ops continuity
STRATCOM SMORS,SMORS,DoD,C5ISR,,,,,,,,,,TS/SCI,Medium,,,Offutt AFB,“STRATCOM C2 Cyber ILS”,Prime TS (sub),,,,needs-scrape,,,BAE Systems,Medium,,,—,,Intel analyst; systems engineer
SMORS – STRATCOM Mission Readiness Sustainment,SMORS,DoD,C5ISR,,,,,,,,,,"Secret, TS/SCI",High,,Services,Colorado Springs CO; Offutt AFB NE,“STRATCOM mission readiness; sustainment engineers; RMF”,Prime TS (support roles),,,,Multi-year,,,Northrop Grumman,High,,,Provided text,,Sustainment engineers; RMF; ILS staff; mission readiness
DIA ISEO (IT Sustainment & Enterprise Ops),,DIA,,,,,,,,,,,,,$400M,,"JB Anacostia-Bolling DC, DIA field offices",,SHINE Systems (routine support),"Cold target, no incumbent contacts. High strategic value for insertion. Target for Intelligence & National Security Summit Sept 18-19",None,Large rotating teams needed for 24x7 coverage,,,,,High,,,,,
Sentinel GBSD (Ground-Based Strategic Deterrent),GBSD,Air Force,Weapon Systems,,,,,,,,,,,,$13.3B,,"Hill AFB UT, Offutt AFB NE",,"Insight Global, other large staffing firms",Cold target but PTS has strong Northrop past performance on related ICBM programs. PTS placed engineers now working on Sentinel - credible referral pathways,Target,,,,,,High,,,,,
DISA GSM-O II (Global Services Management - Operations),,DISA,Cyber,,,,,,,,,,,,$6.52B,,"Scott AFB IL, Fort Meade MD, OCONUS network nodes",,Various cleared firms,PTS has placed NOC techs & engineers on GSM-O II. Target for Billington CyberSecurity Summit Sept 9-12,Past,Large rotating teams needed for 24x7 monitoring & defense of DoD networks,,,,,High,,,,,
Army AvMC EITSS (Enterprise IT Support Services),EITSS,Army,IT Ops,,,,,,,,,,,,$404M,,"Redstone Arsenal AL, AvMC satellite sites",,Multiple subcontractors needed for large requirement,Cold target but PTS has strong Huntsville past performance in Army IT. Positioned as IPTA's cleared talent supplier,Target,,,,,,Medium,,,,,
Army AESD (Enterprise Service Desk),AESD,Army,IT Ops,,,,,,,,,,,,$757M,,"Fort Gordon GA, Fort Hood TX, Fort Liberty NC, Fort Sam Houston TX",,"Apex, Insight Global, TEKsystems for call center staffing",SAIC took over from Dell. High churn creates opening for reliable cleared talent pipeline. Target for National Cyber Summit Sept,Target,,,,,,High,,,,,
USAF 16th Air Force Mission IT Support,,Air Force,Cyber,,,,,,,,,,,,$261M,,"Lackland AFB TX, Eglin AFB FL, Tyndall AFB FL, Nellis AFB NV, Hill AFB UT",,Specialty subcontractors for skill gaps,"PTS placed AF NOC techs at Hill AFB & cyber staff at Scott AFB. Warm path available through existing base contacts. Target for AFA Air, Space & Cyber Conference Sept 16-18",Past,,,,,,High,,,,,
DoD JSP (Joint Service Provider) Pentagon IT & ICAM,JSP,DoD,IT,,,,,,,,,,,,$190M,,Pentagon Arlington VA,,Small-business subs historically used,"Cold target, only adjacent experience supporting OSD offices. CACI teams with small-business subs. Target for Federal Identity Forum Sept 23-24",None,,,,,,Medium,,,,,
JRSS - Joint Regional Security Stacks,JRSS,DoD,Cyber,,,,,,,,,,,,,,"Montgomery, Alabama",,,DoD Network Security program. Insight Global Job Postings: 2 jobs. Clearance: TS/SCI.,,,,,,,Medium,,,,,
CANES - Consolidated Afloat Network Enterprise Services,CANES,Navy,IT,,,,,,,,,,,,,,"Norfolk VA, Sully VA, Mount Vernon VA, Aiea HI, Arlington VA",,,Network modernization for Navy afloat platforms. Insight Global Job Postings: 24 jobs. Clearance: Secret to TS/SCI with Poly.,,,,,,,High,,,,,
AFSIM - Advanced Framework for Simulation Integration & Modeling,AFSIM,Air Force,IT,,,,,,,,,,,,,,"San Antonio TX, Manassas VA, Tampa FL, Rivanna VA",,,Air Force Research Lab M&S program. Insight Global Job Postings: 4 jobs. Clearance: TS/SCI.,,,,,,,Medium,,,,,
NJRSS - Navy Joint Regional Security Stacks,NJRSS,Navy,Cyber,,,,,,,,,,,,,,"Montgomery, Alabama",,,Navy variant of JRSS boundary security. Insight Global Job Postings: 2 jobs. Clearance: TS/SCI.,,,,,,,Medium,,,,,
Counter-UAS Program,C-UAS,Army,Weapon Systems,,,,,,,,,,,,,,"Huntsville, Alabama",,,Force protection counter-drone systems. Insight Global Job Postings: 2 jobs. Clearance: Secret to TS/SCI.,,,,,,,High,,,,,
EVMS - Earned Value Management Systems,EVMS,DoD,IT,,,,,,,,,,,,,,"Herndon, Virginia",,,DoD Acquisition program management. Insight Global Job Postings: 1 job. Clearance: TS/SCI.,,,,,,,Low,,,,,
