Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Tech Stack (Basic),Functional Areas (Basic),Job Titles (Basic),Tech Stack (PWS),Labor Categories (PWS),Clearances (PWS),Team Locations (PWS),Functional Areas (PWS),PWS Document Name,PWS Download Status,Signed Date (FPDS),Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),NAICS Code (FPDS),PSC Code (FPDS),FPDS Enrichment Status,Contractor UEI,Contractor POC Names,Contractor POC Titles,Contractor POC Emails,Contractor POC Phones,Entity API Status,Tech Stack (Combined),Functional Areas (Combined),Contract Number (USASpending),Contract Value (USASpending),Contract Description (USASpending),Awarding Agency (USASpending),Match Score,Match Terms,NAICS Description,PSC Description,PSC Category,PSC Area,DoD Portfolio
MDA Tactical Embedded Systems,,MDA,Medium,Secret,Medium,,Program,"Redstone Arsenal, Huntsville AL",“Insight Global job HSV-795802… tactical embedded SW… MDA domain”,Insight Global,Target,,Northrop Grumman,Weapon Systems,,High,Embedded SW engineers; C++; tactical missile SW,AI; C++,,Embedded SW engineers; C++; tactical missile SW,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; C++,,,,,,,,,,,,
MHS GENESIS (DHMSM),DHMSM,DoD,,Secret,Medium,$4.3B,,NCR; San Antonio; Remote,"“MHS GENESIS, DHA, Electronic Health Record”",Cerner; Accenture Federal,,,Leidos,Health IT,,Provided text,Clinical trainer; IT support; workflow analyst; EHR migration,AI,Cloud Services,Clinical trainer; IT support; workflow analyst; EHR migration,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Cloud Services,,,,,,,,,,,
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,,"Public Trust, Secret",Medium,,,MHS sites CONUS / OCONUS,“Training and go-live support; clinical IT support”,,,,Leidos,IT Ops,,Provided,Clinical help desk; applications support; site support technicians,AI,IT Operations,Clinical help desk; applications support; site support technicians,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,IT Operations,,,,,,,,,,,
Mission Partner Environment,MPE,DoD,,"Secret, TS/SCI",High,$5.6B,,Global coalition sites,“MPE replacing BICES; $5.6B; Capgemini team”,Capgemini + 7 BPA partners,,,GDIT,C5ISR,,Provided,Coalition network engineers; CDS admins; field support teams,network,Data Analytics,Coalition network engineers; CDS admins; field support teams,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Data Analytics,,,,,,,,,,,
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,Medium,Secret,Medium,,Multi-Year,Secret → TS/SCI,C5ISR / IT Ops,,Target,,GDIT,Professional Services,,Medium,“Global coalition network mission (MPE)”,network,IT Operations,“Global coalition network mission (MPE)”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
Mission Partner Environment (successor to BICES),MPE,DoD,,"Secret, TS/SCI",High,$5.6B,,Global (coalition networks),“MPE replaces BICES… $5.6B… GDIT + Capgemini team”,Capgemini + 7 BPA teammates,,,GDIT,C5ISR,,Successor contract description,Coalition network engineers; CDS administrators; field support teams,network,Data Analytics,Coalition network engineers; CDS administrators; field support teams,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Data Analytics,,,,,,,,,,,
Modular Open Systems Approach,MOSA,Space Force,,Secret,Medium,,,National Harbor MD; US Army programs,“MOSA & Space Industry Summit… OPENSIG”,CACI; SAIC; Northrop,,,Multiple primes,R&D,,Provided,Chief engineers; PMs; open-architecture developers,,Systems Engineering,Chief engineers; PMs; open-architecture developers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering,,,,,,,,,,,
MOJAVE / ACADIA,,NGA,,TS/SCI w/ Poly,Medium,,,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI + poly”,,,,CACI (indicative),Intel,,Provided reference,Cloud engineer; data pipeline; GEOINT analyst,cloud,Data Analytics; Cloud Services,Cloud engineer; data pipeline; GEOINT analyst,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Data Analytics; Cloud Services,,,,,,,,,,,
MPCO VMOD (Voice Modernization),VMOD,Army,Medium,Secret,Medium,$382M,Task Order,CONUS Army posts,“Voice modernization”,Black Box,None,"January 1, 2023 → January 1, 2028",CACI (indicative),IT Ops,,Provided,Voice engineers; telecom modernization,,,Voice engineers; telecom modernization,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
MSS Smart Systems (Palantir contract),MSS,Army,,TS/SCI,Low,,,Classified CONUS/OCONUS,“Palantir… Smart Systems… classified customer”,,,,Palantir,Intel,,Provided,Data engineers; Palantir platform engineers; intel analysts; field support,,Data Analytics,Data engineers; Palantir platform engineers; intel analysts; field support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,,,,,,,,,,,
Multi-Mission Command & Control,M2C2,MDA,,"Secret, TS/SCI",Medium,,,Aurora CO; Huntsville AL; Colorado Springs CO,“M2C2… C2 development… LM/Raytheon”,,,,Lockheed Martin / Raytheon,C5ISR,,Provided,C2 SW dev; embedded SW; Linux; systems engineering,,Software Development; Systems Engineering,C2 SW dev; embedded SW; Linux; systems engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development; Systems Engineering,,,,,,,,,,,
NARSIL,NARSIL,DoD,,Secret,Medium,,,TS/SCI,Intel / IT Ops,,,,Peraton (indicative),Professional Services,,High,“High-value IDIQ… Peraton NARSIL”,,IT Operations,“High-value IDIQ… Peraton NARSIL”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,🟠 High,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,,R&D,NCR; Dayton OH (indicative),“Peraton NARSIL”; “NASIC/IC ML/AI research”,,Target,,Peraton,Intel,,User portfolio references,Data scientists; SW engineers; ML/AI researchers; systems engineers,AI; ML,Data Analytics,Data scientists; SW engineers; ML/AI researchers; systems engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; ML,Data Analytics,,,,,,,,,,,
NASA Enterprise Service Support Technology,NESST,NASA,Low,"Public Trust, Secret",Low,,Services,NASA centers,“NASA IT”,,None,,SAIC / Leidos (indicative),IT Ops,,Provided,EUS support; deskside; enterprise IT,,,EUS support; deskside; enterprise IT,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
NASA SENSE (Space Comms & Tracking),SENSE,NASA,,Secret,Medium,$1.8B,,Near-Earth network (TDRS),“Peraton Awarded $1.8B NASA SENSE”,All Points,,,Peraton,IT Ops,,High,Network ops; RF; sustainment,AI; network,IT Operations; Logistics,Network ops; RF; sustainment,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; network,IT Operations; Logistics,,,,,,,,,,,
NASA SEWP,SEWP,NASA,,"Public Trust, Secret",Medium,,,Nationwide,“SEWP cited as GWAC example”,IT resellers & integrators,,,Multiple,IT Ops,,Provided,Hardware/software procurement; IT services; cloud,cloud,Software Development; Cloud Services,Hardware/software procurement; IT services; cloud,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Software Development; Cloud Services,,,,,,,,,,,
NASA Space Network Evolution,SENSE,NASA,,Secret,High,$1.8B,,NASA SCaN Global,“Near-Earth comms; SENSE; TDRS”,All Points,,,Peraton,C5ISR,,Provided,Satellite comm engineers; network technicians,network,,Satellite comm engineers; network technicians,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
NASIC Radar Analysis Program,NASIC Radar,Air Force,,Top Secret,Medium,,,Beavercreek OH,“TS Radar Engineer – NASIC – Beavercreek OH”,,,,Ball Aerospace,Intel,,Provided,Radar engineers; data analysts,,Data Analytics,Radar engineers; data analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,,,,,,,,,,,
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,,Secret,Medium,,,Pax River MD,“NAVAIR Flight Ops – Pax River”,,,,Vertex Aerospace,IT Ops,,Provided,Flight ops analysts; schedulers; IT support,AI,,Flight ops analysts; schedulers; IT support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,,,,,,,,,,,,
Navy Aegis Combat System Modernization,AEGIS,Navy,,Secret,Medium,,,Dahlgren VA; Moorestown NJ; shipyards,“Aegis”; “Combat System”; “Modernization”,,,,Lockheed Martin,C5ISR,,Top DoD-program reference set,Systems engineers; combat system SW devs; integration & test,,Systems Engineering,Systems engineers; combat system SW devs; integration & test,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering,,,,,,,,,,,
Navy Enterprise Service Desk,NESD,Navy,,Secret,Medium,$2.5B,,Norfolk VA; San Diego CA; distributed Navy NOCs,"“NESD, Navy Helpdesk, Enterprise IT”",Perspecta; SAIC,,,Leidos,IT Ops,,NESD job-posting context & NGEN-related notes,Tier 1–3 service desk; Navy help desk; desktop support,,IT Operations,Tier 1–3 service desk; Navy help desk; desktop support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
Next Generation Interceptor,NGI,MDA,,"Secret, TS/SCI",High,$13B,,Huntsville AL; Promontory UT; test ranges,“Interceptor Development”; “Missile Defense”,Raytheon; Aerojet Rocketdyne,,,Northrop Grumman & Boeing,R&D,,GBSD Notebook; NGI BD references,MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC,,Software Development,MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR (NGI),MDA,4,next; ngi; interceptor; generation,,,,,
NextGen GEO (Network/Ops),NGG,Space Force,,"Secret, TS/SCI",High,,,Boulder CO,"“OPIR, STIG, RMF; NextGen GEO ops”",,,,Northrop Grumman,C5ISR,,GEO Ops job description,Network Eng; SysAdmin; Field Tech,network,,Network Eng; SysAdmin; Field Tech,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,Medium,TS/SCI,Medium,Multi-$B,Production,El Segundo CA; Colorado Springs CO,"“Space C2, Missile Warning”",Multiple (needs-scrape),None,,Northrop Grumman,C5ISR,,OPIR workforce analysis,Payload SW/SE; Ground Ops; Data Exploitation,,Data Analytics,Payload SW/SE; Ground Ops; Data Exploitation,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR (NGI),MDA,2,next; gen,,,,,
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,Medium,TS/SCI,Medium,,CLASSIFIED SPACE PROGRAM,SSC / Los Angeles; Colorado Springs,“Classified satellite program; TS/SCI engineers”,,Target,,Northrop Grumman,Space,,Provided notes,Payload Eng; Ground Systems; Space Sensor Dev,,,Payload Eng; Ground Systems; Space Sensor Dev,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR (NGI),MDA,2,next; generation,,,,,
NGA Enterprise Engineering,NEE,NGA,,TS/SCI,Medium,$824M,,Springfield VA; St. Louis MO,“NGA NEE $824M”,,,,Peraton (Perspecta heritage),Intel,,High,Cloud engineers; enterprise architects; GEOINT IT,cloud,Cloud Services,Cloud engineers; enterprise architects; GEOINT IT,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Cloud Services,,,,,,,,,,,
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,,TS/SCI w/ Poly,Medium,$500M,,Springfield VA; St. Louis MO,“NGA MOJAVE & ACADIA… TS/SCI & poly”,,,,CACI,Intel,,Provided,Cloud engineers; data pipeline; GEOINT analysts,cloud,Data Analytics; Cloud Services,Cloud engineers; data pipeline; GEOINT analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Data Analytics; Cloud Services,,,,,,,,,,,
NGEN-R — Enterprise Network Program,NGEN-R,Navy,,Secret,High,$7.7B,,Norfolk; San Diego; global Navy/USMC,“NMCI; Navy/USMC enterprise IT”,Apex Systems; Insight Global,,,Leidos,IT Ops,,Provided,Help desk; field tech; network admin,network,IT Operations,Help desk; field tech; network admin,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,,"Public Trust, Secret, Top Secret",High,$7.7B,,Norfolk VA; San Diego CA; Hawaii; global Navy/USMC bases (CONUS/OCONUS),"“NMCI follow-on”; “enterprise network services for 400k+ users”; “heavy use of subcontracted staff (Apex, Insight Global) for help desks and field tech support”; “base-level IT roles at Cherry Point, Camp Lejeune, etc.”",Perspecta/Peraton; IBM; Verizon; Apex Systems; Insight Global,,,Leidos,IT Ops,,Consolidated from all NGEN-R SMIT rows in this batch,Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support,network,Systems Engineering; IT Operations; Cybersecurity,Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Systems Engineering; IT Operations; Cybersecurity,,,,,,,,,,,
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,,Secret,High,$7.7B,,Navy/USMC worldwide,(Already normalized master row),"Apex, Insight Global, Peraton, IBM, Verizon",,,Leidos,IT Ops,,Reference pointer,Enterprise IT; help desk; NetOps; cyber,,IT Operations; Cybersecurity,Enterprise IT; help desk; NetOps; cyber,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations; Cybersecurity,,,,,,,,,,,
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,,TS/SCI,High,Multi-$B,,SSC; Colorado Springs,(See Batch 1),multiple,,,Northrop Grumman,C5ISR,,reference pointer,Space payloads; C2; missile-warning exploitation,,,Space payloads; C2; missile-warning exploitation,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,,TS/SCI w/ Poly,High,$455M,,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,“High-security ops centers (Cheyenne Mountain)… 24/7 operations”; “limited big staffing-firm presence but some help-desk/sysadmin subcontracting”,NOVA-Diné (tribal SB); limited other subs (TS/SCI constrained),,,Jacobs,C5ISR,,Consolidated from all NISSC II rows in this batch,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support,AI; network,Data Analytics; IT Operations; Cybersecurity,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; network,Data Analytics; IT Operations; Cybersecurity,,,,,,,,,,,
NRO Ground Systems DevOps (Seal Beach),,NRO,,TS/SCI w/ Poly,Medium,,,Seal Beach CA,“NRO Ground Systems DevOps… TS/SCI w/ poly… Seal Beach”,,,,Boeing,Intel,,Row text,DevOps engineers; CI/CD & infra automation for NRO ground systems,CI/CD,Software Development,DevOps engineers; CI/CD & infra automation for NRO ground systems,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,CI/CD,Software Development,,,,,,,,,,,
NTT Applications & BPS Support,,DoD,,"Public Trust, Secret",Medium,,,Texas; remote CONUS,“NTT Data”; “Applications”; “BPS Tech Stack”,,,,NTT DATA,IT Ops,,NTT Tech Stack document,Application engineers; business analysts; apps/BPS support,,Data Analytics,Application engineers; business analysts; apps/BPS support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,,,,,,,,,,,
NTT DATA Enterprise Architecture (BPS / Apps),,DoD,,"Public Trust, Secret",Medium,,,U.S. – Heredia CR; Atlanta GA; remote,“Enterprise Architect”; “BPS”; “NTT DATA Digital”,,,,NTT DATA,Consulting,,NTT BPS/Apps Tech-Stack docs,"Enterprise architects; solution architects (BPS, applications)",,Data Analytics; Systems Engineering,Enterprise architects; solution architects (BPS; applications),,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics; Systems Engineering,,,,,,,,,,,
OASIS+ Multi-Agency Services,OASIS+,DoD,Medium,"Public Trust, Secret, Top Secret",Medium,Multi-$B,GWAC,Nationwide,“OASIS+… multi-agency professional services”,Engineering + professional services SB teams,Target,,Multi-award primes,Professional Services,,GSA references,Eng services; PM; acquisition; R&D; analysis,,,Eng services; PM; acquisition; R&D; analysis,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
OASIS+ Services (Already normalized),OASIS+,DoD,Medium,"Public Trust, Top Secret",Medium,Multi-$B,GWAC,Nationwide,OASIS+,multiples,None,,multiples,Professional Services,,Pointer,Eng/Prof services,,,Eng/Prof services,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,,"Public Trust, Secret",Medium,$116.7M,,Pentagon; Mark Center; Crystal City,“LMI… $116.7M… admin & analytic support”,SB surge partners,,,LMI,Professional Services,,OUSD(A&S) description,Admin assistants; analysts; PM support,,,Admin assistants; analysts; PM support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,,"Public Trust, Secret",High,$1.8B,,Pentagon / NCR / CONUS,“PRISM IDIQ”; “surge staffing”,Many teaming partners,,,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",Professional Services,,Consolidated from all PRISM rows,Analysts; trainers; HR support; admin,AI,,Analysts; trainers; HR support; admin,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,,,,,,,,,,,,
PAC-3 (Consolidated),PAC-3,Army,,Secret,High,Multi-$B,,Camden AR; Huntsville AL; Grand Prairie TX; WSMR,“PAC-3”; “Patriot”; “interceptor”,Raytheon; Boeing; Aerojet Rocketdyne,,,Lockheed Martin,Weapon Systems,,Consolidated from all PAC-3 rows,Missile engineering; assembly; test; RF engineering,,,Missile engineering; assembly; test; RF engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION,Department of the Army,1,pac,,,,,
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,,"Secret, TS/SCI",High,$10B,,Grand Prairie TX; Camden AR; Huntsville AL; WSMR; Orlando FL,"“Patriot / Interceptor / Record Production Year”; “1,970+ MSE deliveries”; “FMS WISŁA IBCS links”",Raytheon; Boeing; L3Harris; Aerojet Rocketdyne,,,Lockheed Martin Missiles & Fire Control,C5ISR,,Lockheed PAC-3 MSE Intelligence Reports,Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service,,,Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION,Department of the Army,2,pac; production,,,,,
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,,"Secret, TS/SCI",High,$9.8B,,Camden AR; Grand Prairie TX; Huntsville AL,"“PAC-3 MSE record production, >500 missiles/yr”",Boeing RF Seeker; L3H/Aerojet dual-pulse motor,,,Lockheed Martin,Weapon Systems,,HUMINT & BD Files,Manufacturing; missile eng; test; RF engineers; quality,AI,,Manufacturing; missile eng; test; RF engineers; quality,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,,W31P4Q20C0023,"$10,475,203,569.62",PAC-3 PRODUCTION,Department of the Army,2,pac; production,,,,,
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,High,"Secret, TS/SCI",High,$9.8B,IDIQ,Grand Prairie TX; Camden AR; Huntsville AL,"“PAC-3 MSE… 1,970 missiles… record year”",Boeing; L3Harris; Aerojet Rocketdyne,None,"January 1, 2024 → January 1, 2031",Lockheed Martin,Weapon Systems,,HUMINT and BD data,QA inspectors; assembly; missile test; systems engineers; production planners; RF testers,AI,,QA inspectors; assembly; missile test; systems engineers; production planners; RF testers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,,,,,,,,,,,,
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,,TS/SCI w/ Poly,High,$889M,,Fort Eisenhower GA; Fort Meade MD,“Peraton Awarded $889M… ARCYBER… Cyber Mission Partners”,,,,Peraton,Cyber,,Program listing,Cyber ops planners; IO/EW; mission support,,Cybersecurity,Cyber ops planners; IO/EW; mission support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT,GSA,2,arcyber; cyber,,,,,
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,,TS/SCI w/ Poly,High,$1B,,Reston VA; Fort Meade MD,“High-value IC IDIQ; automation; IC cyber/data fusion”,,,,Peraton,Cyber,,NARSIL references,Systems Eng; DevOps; Cyber Ops; ML/AI; Signals Processing,AI; ML,Data Analytics; Software Development; Cybersecurity,Systems Eng; DevOps; Cyber Ops; ML/AI; Signals Processing,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; ML,Data Analytics; Software Development; Cybersecurity,,,,,,,,,,,
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,,Secret,High,$4.8B,,Poland; Huntsville AL labs,“WISŁA… IBCS portion ~$900M… Patriot batteries”,Polish PGZ; U.S. integrators,,,Raytheon & Northrop Grumman,C5ISR,,BD documents,Fielding; integration; training; IBCS engineering,AI,Systems Engineering,Fielding; integration; training; IBCS engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Systems Engineering,,,,,,,,,,,
PRISM Support Services (Consolidated),PRISM,DoD,,"Public Trust, Secret",High,$1.8B,,Pentagon; NCR; CONUS,“PRISM IDIQ… admin & analyst roles… surge staffing via teams”,Numerous teaming partners,,,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",IT Ops,,Program references,Admin; Program Analysts; Training; HR; data analysts,AI,Data Analytics,Admin; Program Analysts; Training; HR; data analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Data Analytics,,,,,,,,,,,
Project Convergence (JADC2 Experiments),PC,Army,,Secret,Medium,,,Yuma Proving Ground; Austin TX; labs,“SAIC… autonomy software engineers & data analysts”,Multiple (needs-scrape),,,SAIC,C5ISR,,BD notes,Autonomy SW; AI/ML analysts; JADC2 integration staff,AI; ML,Data Analytics; Software Development; Systems Engineering,Autonomy SW; AI/ML analysts; JADC2 integration staff,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; ML,Data Analytics; Software Development; Systems Engineering,,,,,,,,,,,
Protected Satcom & Tactical Waveform Communications,PTW / Protected TWF,Space Force,,Secret,Medium,,,Colorado Springs (indicative),“Protected Tactical Waveform”,,,,L3Harris,Space,,SATCOM references,RF Engineers; Crypto; SATCOM SMEs,,,RF Engineers; Crypto; SATCOM SMEs,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Protected Tactical SatCom / Waveform,PTW,Space Force,,Secret,Medium,,,CO (indicative),“Protected Tactical Waveform”,,,,L3Harris,Space,,L3Harris SATCOM references,RF engineers; crypto; SATCOM specialists,,,RF engineers; crypto; SATCOM specialists,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
RUSHMORE,RUSHMORE,Space Force,,TS/SCI,High,,,Aurora CO (Buckley SFB),“Apex posting for NGC RUSHMORE team”,Apex Systems (staffing),,,Northrop Grumman,Space,,Apex & NGC job postings,Principal Java SW Engineer; C2/SATOPS SW,Java,,Principal Java SW Engineer; C2/SATOPS SW,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,Java,,,,,,,,,,,,
RUSHMORE (Already normalized),RUSHMORE,Space Force,High,TS/SCI,High,,Program,Aurora CO,RUSHMORE,Apex,Target,,Northrop,Space,,pointer,SW engineering,,,SW engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
SCITLS,SCITLS,DoD,,Secret,Medium,,,CONUS,“SCITLS”,,,,GDIT,Logistics,,Provided,Logistics IT technicians,,Logistics,Logistics IT technicians,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Logistics,,,,,,,,,,,
SCITLS (Already normalized),SCITLS,DoD,Medium,Secret,Medium,,Program,Secret,Logistics/IT,,None,,GDIT,Professional Services,,Medium,SCITLS,,Logistics,SCITLS,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Logistics,,,,,,,,,,,
SCORPION (classified),SCORPION,DoD,Medium,TS/SCI,Medium,,CLASSIFIED PROGRAM,,“Listed in classified-support context”,,None,,CACI (context only),Cyber,,Low,Intel/Cyber,,Cybersecurity,Intel/Cyber,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
SDA Tranche-0 Constellation Support,SDA Tranche-0,DoD,,TS/SCI,Medium,,,SDA Ops Center (likely),“Transport Layer / Tracking Layer primes”; “Peraton ground support suspected”,Peraton (suspected ground/ops sub),,,"Multiple primes (Lockheed, York, SpaceX, L3Harris)",C5ISR,,Provided references,Satellite operators; network engineers; ground-system integrators,network,,Satellite operators; network engineers; ground-system integrators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
SeaPort Next Generation,SeaPort-NxG,Navy,,Secret,Medium,,,Navy worldwide,“SeaPort-NxG MAC”,Many engineering & IT subs,,,1023+ primes,C5ISR,,—,Systems engineering; logistics; SW; cyber,,Systems Engineering; Logistics; Cybersecurity,Systems engineering; logistics; SW; cyber,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering; Logistics; Cybersecurity,,,,,,,,,,,
