Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Start Date (Tango),Current End Date (Tango),Ultimate End Date (Tango),Base + Options Value (Tango),Total Obligated (Tango),Performance Location (Tango),Tango NAICS Code,Tango PSC Code,Recipient UEI (Tango),Recipient Name (Tango),Awarding Office (Tango),Set Aside (Tango),Contract Signed Date (Tango),NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
Global Solutions Management – Operations II,GSMO II,DISA,nan,"Secret, Top Secret",Medium,nan,nan,Scott AFB; Ft Meade; Hill AFB,“DISA; GSMO; Leidos”,CACI; SAIC; small SB partners,nan,nan,Leidos,C5ISR,nan,Provided,Network engineers; systems admins; helpdesk,NNJ09HD46C,GSMO II,Medium,1.0,,,Network engineers; systems admins; helpdesk,2008-11-07,2018-02-28,2018-02-28,"$667,321,349.00","$1,306,805,321.14","HOUSTON, TEXAS",541712,AR45,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION, (),NONE,2008-11-07,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",True,,,,,,,No Match
GMD Weapon System (Ground C2),GWS (GMD),MDA,🟠 High,"Secret, Top Secret",High,$3.3B,IDIQ,Huntsville AL; Schriever SFB; Ft Greely AK,“GMD Weapon System… $3.3B… weapon system integrator”,Raytheon; GD; Bechtel; others,Target,"January 1, 2022 → January 1, 2027",Northrop Grumman,C5ISR,nan,Provided,SW sustainment; BMC3; test engineers,HQ085621C0003,GWS (GMD),Medium,2.0,,,SW sustainment; BMC3; test engineers,2021-03-25,2028-12-31,2028-12-31,"$2,629,667,873.00","$2,395,436,919.18","CHANDLER, ARIZONA",541715,AC13,F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),NONE,2021-03-24,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
GMD Weapon System Modernization,GWS (GMD),MDA,nan,"Secret, TS/SCI",High,$3.3B,nan,Huntsville AL; Schriever SFB; Ft Greely AK; Vandenberg SFB,Homeland missile defense,"Raytheon (BMC3), GD, Bechtel",nan,nan,Northrop Grumman,C5ISR,nan,Provided row text,SW engineering; modeling & simulation; cyber; C2,HQ085621C0003,GWS (GMD),High,4.0,,,SW engineering; modeling & simulation; cyber; C2,2021-03-25,2028-12-31,2028-12-31,"$2,629,667,873.00","$2,395,436,919.18","CHANDLER, ARIZONA",541715,AC13,F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),NONE,2021-03-24,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
GPS Next-Gen Operational Control System,GPS OCX,Space Force,nan,"Secret, Top Secret",High,$7.6B,nan,Colorado Springs CO (Schriever SFB),“GPS OCX… cost overruns… provisional acceptance 2023”,Insight Global; Apex Systems (staff aug),nan,nan,Raytheon Intelligence & Space,IT Ops,nan,Row text,Software engineers; cyber analysts; helpdesk,FA880710C0001,GPS OCX,High,6.0,,,Software engineers; cyber analysts; helpdesk,2010-02-25,2026-03-31,2026-03-31,,"$4,401,448,778.90","AURORA, COLORADO",541712,AC27,JLWLJXQ3M995,RAYTHEON COMPANY,FA8807 MIL COMM AND PNT SSC/CGK (Department of the Air Force),NONE,2010-02-25,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",True,,,,,,,No Match
GPS Operational Control System (sustainment),GPS OCX,Space Force,nan,"Secret, Top Secret",High,$7.7B,nan,Aurora CO; Schriever SFB,“GPS ground control”,GDIT; Infinity; Braxton (historical); IBM tools,nan,nan,Raytheon,IT Ops,nan,Provided,SW dev/test; IA; cyber; sustainment,FA880710C0001,GPS OCX,High,3.0,,,SW dev/test; IA; cyber; sustainment,2010-02-25,2026-03-31,2026-03-31,,"$4,401,448,778.90","AURORA, COLORADO",541712,AC27,JLWLJXQ3M995,RAYTHEON COMPANY,FA8807 MIL COMM AND PNT SSC/CGK (Department of the Air Force),NONE,2010-02-25,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",True,,,,,,,No Match
GRASP (Raytheon/Peraton),GRASP,DoD,nan,Secret,Medium,nan,nan,Secret,C5ISR,nan,nan,nan,Peraton,Professional Services,nan,Medium,“GRASP”,80GSFC19C0063,GRASP,Low,0.0,,,“GRASP”,2019-10-01,2026-03-31,2026-03-31,"$1,800,000,000.00","$1,414,704,681.90","HERNDON, VIRGINIA",517919,D318,ZBPQEJVECCT4,PERATON INC.,NASA GODDARD SPACE FLIGHT CENTER (National Aeronautics and Space Administration),NONE,2019-06-27,All Other Telecommunications,,,,,,,,No Match
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,High,"Secret, Top Secret",High,$13.3B,IDIQ,Hill AFB; Ogden UT; Roy UT; Colorado Springs; Promontory UT,“Sentinel ICBM modernization”,Apex Systems; Insight Global; TEKsystems; Belcan; Iron Eagle X; Prime TS,Target,"January 1, 2020 → January 1, 2039",Northrop Grumman,C5ISR,nan,GBSD BD strategy,Systems engineers; MBSE; SW engineers; cyber; test; logistics,FA821920C0006,GBSD / Sentinel,High,6.0,,,Systems engineers; MBSE; SW engineers; cyber; test; logistics,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Ground-Based Interceptor,GBI,MDA,nan,"Secret, Top Secret",Medium,Multi-$B,nan,Vandenberg; Ft Greely,“GBI”,Northrop (EKV/CVKV),nan,nan,Boeing (lead),Weapon Systems,nan,Provided,Missile ops; missile engineers,HQ085621C0003,GBI,High,3.0,,,Missile ops; missile engineers,2021-03-25,2028-12-31,2028-12-31,"$2,629,667,873.00","$2,395,436,919.18","CHANDLER, ARIZONA",541715,AC13,F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),NONE,2021-03-24,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
Ground-Based Midcourse Defense,GMD,MDA,nan,"Secret, Top Secret",High,Multi-$B,nan,Fort Greely; Vandenberg; Schriever,“GMD national BMD; Next-Gen Interceptor program; multi-contract”,Northrop; Raytheon; others,nan,nan,Boeing (prime); Northrop & Raytheon (NGI),C5ISR,nan,Provided,Missile defense engineers; radar techs; C2 analysts,HQ085621C0003,GMD,High,9.0,,,Missile defense engineers; radar techs; C2 analysts,2021-03-25,2028-12-31,2028-12-31,"$2,629,667,873.00","$2,395,436,919.18","CHANDLER, ARIZONA",541715,AC13,F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),NONE,2021-03-24,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
Ground-Based Strategic Deterrent,GBSD,Air Force,nan,"Secret, TS/SCI",High,Multi-$B,nan,Roy UT; Hill AFB UT; Redondo Beach CA,"“Sentinel, LGM-35A, GBSD”",Aerojet Rocketdyne; Lockheed Martin,nan,nan,Northrop Grumman,Weapon Systems,nan,“Northrop Grumman Sentinel Execution Strategy Guide”,Systems engineers; cybersecurity; SW dev; logistics engineers,FA821920C0006,GBSD,High,9.0,,,Systems engineers; cybersecurity; SW dev; logistics engineers,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,nan,"Secret, TS/SCI",High,Multi-$B,nan,Hill AFB; Offutt AFB (nuclear C3 analysts),“Long-open M&S engineer role… competitors struggling to fill”,Insight Global; TEKsystems; various cleared staffing vendors,nan,nan,Northrop Grumman,C5ISR,nan,“IG had M&S open 6+ months… PTS can supply MBSE quickly”,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt,FA821920C0006,GBSD (Sentinel),High,6.0,,,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
GSA Alliant 2,Alliant 2,DoD,nan,Secret,High,$82.5B,nan,Government-wide,“Alliant 2… used heavily by DoD… 40+ primes”,Numerous,nan,nan,40+ primes,IT Ops,nan,Provided,IT solutions; dev; ops; cloud,nan,nan,nan,nan,,,IT solutions; dev; ops; cloud,,,,,,,,,,,,,,,,,,,,,,No Match
GSA Alliant 2 GWAC,Alliant 2,DoD,nan,Secret,High,$82.5B,nan,Government-wide,“Used heavily by DoD agencies; myriad subcontractors”,Many IT staffing subs,nan,nan,~40 primes,Professional Services,nan,Provided,IT developers; engineers; cloud engineers,nan,nan,nan,nan,,,IT developers; engineers; cloud engineers,,,,,,,,,,,,,,,,,,,,,,No Match
GSA Alliant 2/3 GWAC,Alliant 2/3,DoD,nan,"Public Trust, Secret, Top Secret",Medium,nan,nan,Federal agencies nationwide,“Alliant 2/3 cited as GWAC for IT/cyber services”,Many integrators & staffing firms,nan,nan,Multiple primes,IT Ops,nan,Provided,Enterprise IT; cloud; cyber; software,nan,nan,nan,nan,,,Enterprise IT; cloud; cyber; software,,,,,,,,,,,,,,,,,,,,,,No Match
GSA ASTRO,ASTRO,DoD,nan,Secret,Medium,nan,nan,DoD domains (Ops/R&D/Maintenance),“ASTRO unlimited value… >$100B expected”,Numerous,nan,nan,Dozens of primes,C5ISR,nan,Provided,Ops; R&D; maintenance; dev,nan,nan,nan,nan,,,Ops; R&D; maintenance; dev,,,,,,,,,,,,,,,,,,,,,,No Match
GSA ASTRO (multiple pools),ASTRO,DoD,nan,Secret,Medium,nan,nan,CONUS/OCONUS,“Manned/unmanned systems”,Multiple,nan,nan,Multiple,R&D,nan,Provided,Ops; R&D; maintenance; unmanned systems,nan,nan,nan,nan,,,Ops; R&D; maintenance; unmanned systems,,,,,,,,,,,,,,,,,,,,,,No Match
GSA ASTRO (pool-level entry),ASTRO,DoD,Medium,Top Secret,Medium,nan,IDIQ,CONUS/OCONUS,"“robotics, unmanned systems”",Dozens of subs,nan,"January 1, 2021 → January 1, 2031",Multiple primes,Professional Services,nan,Provided,O&M techs; R&D engineers; robotics,nan,nan,nan,nan,,,O&M techs; R&D engineers; robotics,,,,,,,,,,,,,,,,,,,,,,No Match
GSA Multiple Award Schedule – IT SIN 54151,GSA MAS IT,DoD,nan,"Public Trust, Secret",Medium,nan,nan,Nationwide,“GSA MAS for IT/services”,Numerous IT resellers & SB subs,nan,nan,Many schedule holders,Professional Services,nan,Provided,IT contractors; dev; cyber; staff aug,nan,nan,nan,nan,,,IT contractors; dev; cyber; staff aug,,,,,,,,,,,,,,,,,,,,,,No Match
GSA OASIS,OASIS,DoD,nan,Secret,Medium,nan,nan,Government-wide,“multi-billion usage… succeeded by OASIS+”,Many consulting & staffing firms,nan,nan,100+ primes (Pools 1–6),Professional Services,nan,Provided,A&AS; management; engineering,nan,nan,nan,nan,,,A&AS; management; engineering,,,,,,,,,,,,,,,,,,,,,,No Match
GSA OASIS / OASIS+,OASIS,DoD,nan,Secret,Medium,nan,nan,Gov-wide,“OASIS… succeeded by OASIS+”,Numerous,nan,nan,Multiple pools,Professional Services,nan,Provided,A&AS; program support; engineering,nan,nan,nan,nan,,,A&AS; program support; engineering,,,,,,,,,,,,,,,,,,,,,,No Match
HHS Advanced Secure Data Repository,ASDR,DoD,Medium,Public Trust,Medium,nan,DATA PLATFORM,NIH / HHS,“HHS analytics”,nan,nan,nan,GDIT / SAIC (indicative),Data,nan,Provided text,Data engineering; cyber analysts; platform engineers,19AQMM18C0185,ASDR,Low,0.0,Data Analytics,,Data engineering; cyber analysts; platform engineers,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
Hope 2.0 (prototype),Hope 2.0,Space Force,nan,Secret,Medium,nan,nan,TS,Space / R&D,Odyssey Systems,nan,nan,SAIC,Professional Services,nan,Medium,"“SAIC, Hope 2.0… early-stage targeting”",FA877319FA023,Hope 2.0,Low,0.0,,,"“SAIC, Hope 2.0… early-stage targeting”",2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,nan,TS/SCI,High,$155M,nan,Orbit prototypes; SDA ground centers,“Hypersonic tracking satellites… precursor to SDA’s Tracking Layer”,nan,nan,nan,Northrop & L3Harris (co-primes),R&D,nan,Provided program note,Space payload engineers; infrared flight SW; tracking algorithm developers,HQ085621C0003,HBTSS,Medium,2.0,,,Space payload engineers; infrared flight SW; tracking algorithm developers,2021-03-25,2028-12-31,2028-12-31,"$2,629,667,873.00","$2,395,436,919.18","CHANDLER, ARIZONA",541715,AC13,F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),NONE,2021-03-24,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,nan,"Secret, TS/SCI",High,$441M,nan,Camp HM Smith HI; Pacific sites,“C5ISR support across PACOM; highly technical”,nan,nan,nan,Amentum,C5ISR,nan,“Amentum $441M… INDOPACOM”,IT & cyber analysts; comms engineers; systems integrators,4,INDOPACOM C5ISR,Low,0.0,,,IT & cyber analysts; comms engineers; systems integrators,2016-09-30,2017-09-29,2017-09-29,"$850,003.00","$458,590.00","SANTA ANA, CALIFORNIA",541990,R408,DDZBCZ4K2DN3,NOVAD MANAGEMENT CONSULTING LLC, (),8A,2016-07-05,"All Other Professional, Scientific, and Technical Services",,,,,,,,No Match
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,Medium,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,$400M,nan,Washington DC; Reston VA,"“DIA, ISEO, surge staffing”",unknown (needs-scrape),Target,nan,Leidos,IT Ops,nan,BD prompt example,IT sustainment; help desk; desktops; network ops,HHSN261200800001E,ISEO,Medium,1.0,,,IT sustainment; help desk; desktops; network ops,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
INSCOM GILE Support,GILE,Army,nan,TS/SCI,High,$855M,nan,Fort Belvoir VA; NCR,“INSCOM GILE Support – $855M – CACI”,nan,nan,nan,CACI,Intel,nan,Provided text,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel,W15QKN15C0049,GILE,Medium,2.0,,,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel,2015-05-18,2025-06-02,2025-06-02,"$10,842,183.49","$733,720,754.55","CHANTILLY, VIRGINIA",541511,D307,EPPXR2P9KYU6,"CACI-ISS, LLC",W6QK ACC-PICA (Department of the Army),NONE,2015-05-15,Custom Computer Programming Services,,,,,,,,No Match
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,High,TS/SCI,High,nan,Services,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,“INSCOM helpdesks… TS/SCI; multiple bases”,nan,Current,nan,GDIT,Intel,nan,Provided row,Helpdesk; sysadmin; storage admin; DevOps; network tech,W56HZV19C0036,IT2S4 / I2TS,Medium,1.0,,,Helpdesk; sysadmin; storage admin; DevOps; network tech,2018-12-17,2026-10-17,2027-12-31,"$175,011,179.00","$1,359,959,159.89","STERLING HEIGHTS, MICHIGAN",336992,2350,HAWKSQF848W7,GENERAL DYNAMICS LAND SYSTEMS INC.,W4GG HQ US ARMY TACOM (Department of the Army),NONE,2018-12-17,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",,,,,,,,No Match
INSCOM IT Support Services III,I2TS-III,Army,nan,TS/SCI,Medium,$300M,nan,Fort Belvoir; worldwide,“INSCOM I2TS-III”,ActioNet; Bowhead; other SBs,nan,nan,GDIT,Intel,nan,Provided,Enterprise IT; IA; apps; deployable comms,W56HZV19C0036,I2TS-III,Medium,1.0,,,Enterprise IT; IA; apps; deployable comms,2018-12-17,2026-10-17,2027-12-31,"$175,011,179.00","$1,359,959,159.89","STERLING HEIGHTS, MICHIGAN",336992,2350,HAWKSQF848W7,GENERAL DYNAMICS LAND SYSTEMS INC.,W4GG HQ US ARMY TACOM (Department of the Army),NONE,2018-12-17,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",,,,,,,,No Match
Integrated Air & Missile Defense,IAMD,Army,nan,Secret,Medium,$1B,nan,Huntsville AL,"“Patriot, IAMD, missile defense”",Northrop; Boeing,nan,nan,Raytheon,C5ISR,nan,WISŁA/IBCS linkages,Systems engineers; radar analysts; MLU support,W31P4Q15C0022,IAMD,High,5.0,,,Systems engineers; radar analysts; MLU support,2014-12-19,2025-05-31,2025-05-31,,"$5,608,431,752.51","ANDOVER, MASSACHUSETTS",336414,1425,XSV6AZJ6SDJ7,RAYTHEON COMPANY,W6QK ACC-RSA (Department of the Army),NONE,2014-12-19,Guided Missile and Space Vehicle Manufacturing,,,,,,,,No Match
Integrated Base Defense Security System,IBDS,Army,nan,Secret,Medium,nan,nan,Fort Meade; Aberdeen MD,“Army; Base Defense; IBDS”,Booz Allen; SAIC,nan,nan,Leidos,C5ISR,nan,PTS program-mapping data,Network security engineers; SOC analysts,70T04019C9DAP3006,IBDS,Medium,2.0,,,Network security engineers; SOC analysts,2019-10-01,2025-03-31,2025-03-31,"$1,364,103.24","$862,620,736.01","RESTON, VIRGINIA",811219,J063,UE9QJD4KK1L6,"LEIDOS, INC.",SECURITY TECHNOLOGY (Transportation Security Administration),NONE,2019-09-11,Other Electronic and Precision Equipment Repair and Maintenance,,,,,,,,No Match
Integrated Digital Engineering Environment,IDEE,Air Force,nan,TS/SCI,Medium,nan,nan,Ogden UT,“IDEE; Digital Twin; SysML; Sentinel digital engineering”,L3Harris; Lockheed Martin,nan,nan,Northrop Grumman,R&D,nan,“GBSD BD Strategy.pdf”,MBSE engineers; SysML modelers; digital twin developers,FA821920C0006,IDEE,High,3.0,AI/ML,,MBSE engineers; SysML modelers; digital twin developers,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Integrated Situational Awareness Environment,inSITE,Army,nan,"Secret, TS/SCI",High,nan,nan,Huntsville AL; Colorado Springs CO,“Intel & cyber situational awareness”,Prime TS (support),nan,nan,Northrop Grumman,Cyber,nan,Provided,RMF SMEs; STIG analysts; cyber analysts,FA821920C0006,inSITE,Low,0.0,,,RMF SMEs; STIG analysts; cyber analysts,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Integrated Situational Awareness Tool Environment,inSITE,DISA,High,TS/SCI,High,nan,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,“inSITE – RMF; STIG; cyber situational awareness”,Prime Technical Services,Current,nan,Northrop Grumman,Cyber,nan,Provided,RMF SMEs; STIG analysts; cyber engineers,FA821920C0006,inSITE,Low,0.0,,,RMF SMEs; STIG analysts; cyber engineers,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,High,TS/SCI,High,nan,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,"“Intel & cyber situational awareness”, “STIG”, “RMF”",Prime Technical Services,Current,nan,Northrop Grumman,Cyber,nan,inSITE BD mapping text,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators,FA821920C0006,inSITE,Low,0.0,,,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,nan,TS/SCI,Medium,$400M,nan,Washington DC; Quantico VA; Bolling AFB,“DIA ISEO… Intel IT sustainment… help desk”,GDIT; CACI,nan,nan,Leidos,Intel,nan,BD Automation Playbook (L260–L270),IT support; help desk; desktop support; enterprise sustainment,70T04019C9DAP3006,ISEO (ISE Ops),Medium,2.0,AI/ML,IT Operations,IT support; help desk; desktop support; enterprise sustainment,2019-10-01,2025-03-31,2025-03-31,"$1,364,103.24","$862,620,736.01","RESTON, VIRGINIA",811219,J063,UE9QJD4KK1L6,"LEIDOS, INC.",SECURITY TECHNOLOGY (Transportation Security Administration),NONE,2019-09-11,Other Electronic and Precision Equipment Repair and Maintenance,,,,,,,,No Match
Intelligence Community Infrastructure Support,I2TS-Next,Army,nan,TS/SCI,High,nan,nan,Fort Belvoir VA; Korea (possible),“PTS has experience staffing INSCOM helpdesks…”,PTS (prior INSCOM roles),nan,nan,Jacobs,Intel,nan,INSCOM I2TS-Next history,IT support; cyber security; helpdesk; systems tech,140R4024C0013,I2TS-Next,Medium,1.0,,,IT support; cyber security; helpdesk; systems tech,2024-08-30,2029-12-24,2030-12-24,"$130,000,000.00","$263,095,350.76","FARMINGTON, NEW MEXICO",237110,Y1NE,WEBHVDKSC4T5,JACOBS PROJECT MANAGEMENT CO.,UPPER COLORADO REGIONAL OFFICE (Bureau of Reclamation),NONE,2024-08-30,Water and Sewer Line and Related Structures Construction,,,,,,,,No Match
Intelligence Systems Enterprise Operations,ISEO,DIA,High,TS/SCI,High,nan,IT SUSTAINMENT,Reston VA; DIA HQ JBAB,“DIA IT Sustainment; cleared IT workforce”,Prime TS (prospective),Target,nan,Leidos,Intel,nan,AI-playbook sample,IT support; help desk; desktop; local/remote IT sustainment,HHSN261200800001E,ISEO,Medium,1.0,AI/ML,,IT support; help desk; desktop; local/remote IT sustainment,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,nan,"Secret, TS/SCI",High,$406M,nan,Huntsville AL; Colorado Springs CO,"“Intel modernization, AFRL”",General Dynamics; L3Harris,nan,nan,Northrop Grumman,Intel,nan,“Northrop programs supported by Prime”,RMF SMEs; STIG/Cyber Analysts,FA821920C0006,inSITE,Low,0.0,,,RMF SMEs; STIG/Cyber Analysts,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Interim MDC2 / ABMS,IMDC2 / ABMS,Air Force,Medium,"Secret, Top Secret",Medium,nan,MODERNIZATION,AF bases,“JADC2 / ABMS”,Multiple,nan,nan,Multiple,C5ISR,nan,Row text,C2 engineers; JADC2 integrators,nan,nan,nan,nan,,,C2 engineers; JADC2 integrators,,,,,,,,,,,,,,,,,,,,,,No Match
IT CROP (Bowhead),IT CROP,DoD,nan,Secret,Medium,nan,nan,Secret,IT Ops,nan,nan,nan,Bowhead,Professional Services,nan,Medium,“IT CROP Bowhead”,nan,nan,nan,nan,,,“IT CROP Bowhead”,,,,,,,,,,,,,,,,,,,,,,No Match
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,nan,Secret,High,$880M,nan,NCR; Guard HQs,“Enterprise SW/IT”,MetroStar; Octo (indicative),nan,nan,CACI,IT Ops,nan,Provided,Agile developers; cybersecurity; trainers; network support,W15QKN15C0049,ITEMSS,Medium,2.0,,,Agile developers; cybersecurity; trainers; network support,2015-05-18,2025-06-02,2025-06-02,"$10,842,183.49","$733,720,754.55","CHANTILLY, VIRGINIA",541511,D307,EPPXR2P9KYU6,"CACI-ISS, LLC",W6QK ACC-PICA (Department of the Army),NONE,2015-05-15,Custom Computer Programming Services,,,,,,,,No Match
ITES-3S,ITES-3S,Army,nan,Secret,High,$12.1B,nan,Global,“Army IT”,Numerous,nan,nan,135 primes,IT Ops,nan,Provided,Enterprise IT services; cyber; network ops,nan,nan,nan,nan,,,Enterprise IT services; cyber; network ops,,,,,,,,,,,,,,,,,,,,,,No Match
J6 Enterprise Technology Services (DLA JETS),DLA JETS,DoD,nan,"Public Trust, Secret",High,$6B,nan,Fort Belvoir; Columbus OH; Richmond VA,“Nationwide coverage… Perspecta used Apex in 17 states”,Perspecta/Peraton; Apex Systems (staffing),nan,nan,Multiple (MA-IDIQ pool),IT Ops,nan,Provided,Help desk; application support; network ops; admin,nan,nan,nan,nan,,,Help desk; application support; network ops; admin,,,,,,,,,,,,,,,,,,,,,,No Match
